round,region_bl,stud_sex_bl,school_name_bl,treatment,stud_level_baseline,stud_level_endline,innumeracy_bl,innumeracy_el,numeracy_bl,numeracy_el,learned_new_operation,level_diff,facilitator_id_bl
R8,North East,Male,Phillip Moshotle,Default Caregiver Lead,Addition,,Can at least add,,Cannot divide,,,,CM1910123
R8,North East,Female,Senyawe,Default Caregiver Lead,Beginner,Beginner,Cannot add,Cannot add,Cannot divide,Cannot divide,No,No Progress,CM1910086
R8,  ,Female,Mafitlhakgosi,Caregiver Choice,Multiplication,Multiplication,Can at least add,Can at least add,Cannot divide,Cannot divide,No,No Progress,CM1910086
R8,Kgatleng,Female,Ramogotsi,Default Caregiver Lead,Multiplication,,Can at least add,,Cannot divide,,,,CM1910086
R8,South East,Female,Bosele,Caregiver Choice,Addition,Division,Can at least add,Can at least add,Cannot divide,Can divide,Yes,Progressed 3 levels,CM1910086
R8,North East,Female,Matopi,Default Caregiver Lead,Division,,Can at least add,,Can divide,,,,CM1910086
R8,South East,Female,Phillip Moshotle,Default Caregiver Lead,Multiplication,Multiplication,Can at least add,Can at least add,Cannot divide,Cannot divide,No,No Progress,CM1910086
R8,South East,Male,Bosele,Caregiver Choice,Division,Multiplication,Can at least add,Can at least add,Can divide,Cannot divide,No,Regressed,CM1910086
R8,South East,Male,Phillip Moshotle,Default Caregiver Lead,.r,Multiplication,,Can at least add,,Cannot divide,,,CM1910086
R8,Other,Male,Kachikau,Default Caregiver Lead,Subtraction,Multiplication,Can at least add,Can at least add,Cannot divide,Cannot divide,Yes,Progressed 1 level,CM1910086
R8,South East,Female,Bosele,Default Caregiver Lead,Division,Multiplication,Can at least add,Can at least add,Can divide,Cannot divide,No,Regressed,CM1910086
R8,South East,Female,Phillip Moshotle,Caregiver Choice,Subtraction,Subtraction,Can at least add,Can at least add,Cannot divide,Cannot divide,No,No Progress,CM1910086
R8,South East,Male,Bophirima,Caregiver Choice,Multiplication,,Can at least add,,Cannot divide,,,,CM1910086
R8,Kgatleng,Male,Seingwaeng,Caregiver Choice,Beginner,,Cannot add,,Cannot divide,,,,CM1910086
R8,Kgatleng,Female,Seingwaeng,Caregiver Choice,Beginner,Multiplication,Cannot add,Can at least add,Cannot divide,Cannot divide,Yes,Progressed 3 levels,CM1910114
R8,South East,Male,Bosele,Default Caregiver Lead,Subtraction,Division,Can at least add,Can at least add,Cannot divide,Can divide,Yes,Progressed 2 levels,CM1910086
R8,North East,Female,Kalakamate,Default Caregiver Lead,Beginner,Multiplication,Cannot add,Can at least add,Cannot divide,Cannot divide,Yes,Progressed 3 levels,CM1910086
R8,North East,Female,Kalakamate,Default Caregiver Lead,Addition,Multiplication,Can at least add,Can at least add,Cannot divide,Cannot divide,Yes,Progressed 2 levels,CM1910086
R8,North East,Female,Ditladi,Default Caregiver Lead,Multiplication,,Can at least add,,Cannot divide,,,,CM1910086
R8,South East,Male,Mafitlhakgosi,Default Caregiver Lead,Beginner,Beginner,Cannot add,Cannot add,Cannot divide,Cannot divide,No,No Progress,CM1910086
R8,Kgatleng,Male,Seingwaeng,Default Caregiver Lead,Addition,,Can at least add,,Cannot divide,,,,CM1910086
